"","Row","d.value","stdev","rawp","q.value","R.fold","logFC","FC_round"
"CYTH4",3885,8.63425094505983,0.015814141021751,0,0,1.09926808066128,0.136543262062363,1.1
"ARPC5",4017,8.60409146901232,0.0294584030302617,0,0,1.19206490918986,0.253462794203399,1.19
"WIPF1",1241,8.59351755141989,0.0223258769124161,0,0,1.14223366838858,0.191857815097688,1.14
"PVRIG",5082,8.58242432323167,0.0245522689523751,0,0,1.15726397955333,0.210717990247389,1.16
"OAS2",4955,8.5714385488027,0.0214901550247893,0,0,1.13618797813869,0.184201543199224,1.14
"ADA",2354,8.56594750170473,0.0243328450527201,0,0,1.15543321503647,0.208433873288716,1.16
"APEH",1120,-8.54144791687315,0.0240764950231474,0,0,0.867149034423769,-0.205648128261068,0.87
"CD37",7439,8.54053617360167,0.0291619432232574,0,0,1.18843140181591,0.249058630990748,1.19
"FCMR",1565,8.52317092751937,0.0287101786550924,0,0,1.18484780891968,0.244701760036971,1.18
"CD38",4787,8.52309723500391,0.0305581164768862,0,0,1.19785210824618,0.260449798051077,1.2
"IL12RB1",878,8.50713082286338,0.0131617463303877,0,0,1.08070195382783,0.111968697889951,1.08
"ERAP1",3623,8.50303595533915,0.0147968703142886,0,0,1.09112646201193,0.125818320308887,1.09
"TGFBI",5814,8.49280216632084,0.04707660466706,0,0,1.31933623999064,0.399812290099436,1.32
"BID",5277,8.48277154760011,0.0202063773643221,0,0,1.1261555264679,0.171406082986143,1.13
"CHN1",8030,8.44941356931827,0.0182590149786751,0,0,1.11286451929301,0.154277968923203,1.11
"FCHSD2",227,8.43918014059806,0.0277486205631593,0,0,1.17623441506884,0.234175607585605,1.18
"ZAP70",1065,8.40943164421796,0.018593268073811,0,0,1.11447079964957,0.156358816909333,1.11
"RGS10",5755,8.39652044892114,0.0385269086142023,0,0,1.25135573441625,0.323491976012866,1.25
"IL1B",4400,8.39230808520559,0.0325620731007915,0,0,1.20854479619439,0.273270949354827,1.21
"RHOH",834,8.3862640306641,0.0220320131721106,0,0,1.1366328207972,0.18476627958839,1.14
"TCF4",8537,8.3770950321402,0.0306567383323207,0,0,1.19483748997821,0.256814410385306,1.19
"MMP12",4730,-8.37585542210759,0.0191622635461684,0,0,0.894714716168445,-0.160500349023029,0.89
"ARPC2",5620,8.34209188209071,0.0224883521564529,0,0,1.1388674933384,0.187599899965942,1.14
"TLR4",6515,8.31574858425765,0.0186640889189082,0,0,1.11358051361223,0.155205871003869,1.11
"GPR183",3272,8.28752288554428,0.0338088786997411,0,0,1.21435636413059,0.280191855958695,1.21
"RAB27A",4254,8.27357173756712,0.0231949089728021,0,0,1.14227082376824,0.191904743332818,1.14
